#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         NSSDC
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 1 minute Interplantary OMNI data
#     DATA_TYPE                       HRO>1minute
#     DESCRIPTOR                      IMF and Plasma data
#     DATA_VERSION                    1
#     TITLE                           Near-Earth Heliosphere Data (OMNI)
#     TEXT                            1minute averaged definitive multispacecraft interplanetary parameters data
#                                     Additional information for all parameters are available from OMNI Data Documentation:                 
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html   
#     MODS                            created November 2006;
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000
#                                     Time tags in CDAWeb version were modified in March 2005 to use the
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's
#                                     original convention of start-of-average time tags.
#     LOGICAL_FILE_ID                 omni_hro_1min_00000000_v01
#     PI_NAME                         J.H. King, N. Papatashvilli
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC
#     GENERATION_DATE                 Ongoing
#     ACKNOWLEDGEMENT                 NSSDC
#     ADID_REF                        NSSD0110
#     RULES_OF_USE                    Public
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#                                     Magnetic Fields (space)
#                                     Electric Fields (space)
#     GENERATED_BY                    King/Papatashvilli
#     TIME_RESOLUTION                 1 minute
#     LOGICAL_SOURCE                  omni_hro_1min
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 1-minute IMF and Plasma Data Time-Shifted to the                           
#                                      Nose of the Earth's Bow Shock, plus Magnetic Indices                                                  
#     LINK_TEXT                       Additional information for all parameters are available from
#                                     Additional data access options available at
#                                     Recent omni high resolution updates
#     LINK_TITLE                      OMNI Data documentation
#                                     SPDF's OMNIWeb Service
#                                     Release Notes
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_1min_cdf
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices)
#                                     ACE
#                                     Wind
#                                     IMP (All)
#                                     !___Interplanetary Data near 1 AU
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT1M
#     CDAWEB_PARENTS                  omni_hro_1min_00000000_v01
#                                     omni_hro_1min_19970201_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Epoch Time
#  2. Magnitude of avg. field vector (nT) (last currently-available OMNI B-field data Mar 13, 2024)
#  3. Bx (nT), GSE
#  4. By (nT), GSE
#  5. Bz (nT), GSE
#  6. Flow Speed (km/s), GSE
#  7. Vx Velocity (km/s), GSE
#  8. Vy Velocity (km/s), GSE
#  9. Vz Velocity (km/s), GSE
# 10. Proton density (n/cc) (last currently-available OMNI plasma data Mar 13, 2024)
# 11. Temperature (K)
# 12. Plasma beta
#       NOTES:  Derived parameters are obtained from the following equations. Plasma beta = [(T*4.16/10**5) + 5.34] * Np / B**2 (B in nT)
#
EPOCH_TIME              MAG_AVG_B-VECTOR       BX,_GSE       BY,_GSE       BZ,_GSE FLOW_SPEED,_GSE VX_VELOCITY,_GSE VY_VELOCITY,_GSE VZ_VELOCITY,_GSE PROTON_DENSITY   TEMPERATURE   PLASMA_BETA
dd-mm-yyyy hh:mm:ss.ms                nT            nT            nT            nT            km/s             km/s             km/s             km/s           n/cc             K              
08-02-1997 05:39:00.000          8.58000      -4.53000      0.320000       7.28000         392.600         -392.600          3.10000          1.70000        5.49000       40797.0      0.520000
08-02-1997 05:40:00.000          8.11000      -4.48000      0.770000       6.70000         390.100         -390.000          6.00000         -4.60000        6.24000       44110.0      0.680000
08-02-1997 05:41:00.000          6.52000      -2.82000      -1.17000       5.69000         387.000         -386.600          9.60000         -12.6000        7.20000       48355.0       1.25000
08-02-1997 05:42:00.000          6.35000      -2.69000      -1.39000       5.58000         385.400         -384.700          13.1000         -19.5000        11.7900       54039.0       2.22000
08-02-1997 05:43:00.000          6.22000      -2.70000      -1.38000       5.44000         385.200         -384.400          13.6000         -20.5000        12.4800       54886.0       2.46000
08-02-1997 05:44:00.000          6.33000      -2.84000     -0.800000       5.56000         386.100         -385.300          14.3000         -19.6000        12.3400       53862.0       2.33000
08-02-1997 05:45:00.000          6.51000      -2.78000     -0.590000       5.82000         387.900         -387.200          11.4000         -19.4000        11.7100       54549.0       2.10000
08-02-1997 05:46:00.000          6.61000      -3.02000     -0.740000       5.83000         388.900         -388.400          5.30000         -18.5000        11.2200       56067.0       1.97000
08-02-1997 05:47:00.000          6.87000      -3.51000      0.230000       5.87000         388.000         -387.600         0.900000         -17.2000        10.9800       56199.0       1.79000
08-02-1997 05:48:00.000          6.89000      -4.29000      0.800000       5.32000         385.400         -385.000         -3.60000         -15.3000        10.2600       56900.0       1.67000
08-02-1997 05:49:00.000          6.99000      -4.86000      0.370000       5.01000         385.500         -385.300        -0.500000         -12.8000        9.99000       57148.0       1.58000
08-02-1997 05:50:00.000          6.88000      -4.53000      -1.03000       4.82000         384.300         -384.100          6.90000         -10.0000        10.1800       53046.0       1.62000
08-02-1997 05:51:00.000          6.33000      -3.47000      -1.18000       5.04000         381.700         -381.400          8.80000         -9.70000        11.2600       63625.0       2.24000
08-02-1997 05:52:00.000          5.99000      -2.90000     -0.150000       5.20000         380.700         -380.200          11.7000         -13.4000        12.5300       74285.0       2.94000
08-02-1997 05:53:00.000          5.96000      -2.97000      0.840000       5.09000         384.800         -384.500          1.80000         -17.0000        13.1000       58398.0       2.87000
08-02-1997 05:54:00.000          6.19000      -3.11000       1.50000       5.12000         384.800         -384.500          1.80000         -17.0000        13.1000       58398.0       2.66000
08-02-1997 05:55:00.000          7.68000      -4.14000       2.78000       5.82000         99999.9          99999.9          99999.9          99999.9        999.990   1.00000E+07       999.990
08-02-1997 05:56:00.000          7.79000      -4.24000       2.60000       5.98000         387.500         -387.300         -11.6000         -7.20000        9.06000       58568.0       1.16000
08-02-1997 05:57:00.000          7.87000      -4.15000       2.83000       6.04000         388.900         -388.700         -5.80000         -6.50000        8.63000       58111.0       1.08000
08-02-1997 05:58:00.000          8.00000      -4.20000       2.54000       6.29000         391.900         -391.800          2.00000         -6.50000        8.44000       54581.0       1.00000
08-02-1997 05:59:00.000          6.52000      -2.66000       3.50000       4.55000         392.600         -392.200         0.200000         -15.0000        10.5100       53631.0       1.87000
08-02-1997 06:00:00.000          6.06000      -2.48000       3.82000       3.96000         390.000         -389.100         -4.20000         -25.9000        12.7200       60110.0       2.72000
08-02-1997 06:01:00.000          5.92000      -2.88000       2.91000       4.27000         99999.9          99999.9          99999.9          99999.9        999.990   1.00000E+07       999.990
08-02-1997 06:02:00.000          5.99000      -2.76000       2.81000       4.47000         384.900         -384.400         -10.5000         -16.5000        13.3700       54459.0       2.83000
08-02-1997 06:03:00.000          5.94000      -2.35000       3.14000       4.43000         384.900         -384.400         -10.5000         -16.5000        13.3700       54459.0       2.88000
08-02-1997 06:04:00.000          5.94000      -3.18000       1.22000       4.82000         99999.9          99999.9          99999.9          99999.9        999.990   1.00000E+07       999.990
08-02-1997 06:05:00.000          6.47000      -2.24000      0.280000       6.02000         388.800         -388.200         -1.30000         -21.0000        12.6600       57653.0       2.34000
08-02-1997 06:06:00.000          6.26000      -2.60000       1.31000       5.36000         387.600         -387.000         -9.40000         -17.9000        12.8900       56567.0       2.53000
08-02-1997 06:07:00.000          6.44000      -2.35000      0.800000       5.84000         387.400         -386.900         -7.10000         -16.9000        12.5500       56444.0       2.33000
08-02-1997 06:08:00.000          6.68000      -3.61000     -0.940000       5.34000         385.000         -384.600         -4.60000         -16.3000        12.3700       57825.0       2.15000
08-02-1997 06:09:00.000          6.99000      -3.92000      -1.27000       5.65000         386.000         -385.700         -2.30000         -13.7000        11.1400       58320.0       1.77000
08-02-1997 06:10:00.000          6.64000      -3.80000      -1.27000       5.26000         385.900         -385.800         0.400000         -9.90000        10.2200       59604.0       1.81000
08-02-1997 06:11:00.000          6.37000      -3.93000      -1.44000       4.78000         383.500         -383.400          2.00000         -6.90000        10.7300       61324.0       2.09000
08-02-1997 06:12:00.000          6.20000      -3.66000      -1.64000       4.67000         381.800         -381.500          1.20000         -14.4000        12.9800       65619.0       2.72000
08-02-1997 06:13:00.000          5.50000      -2.33000      0.540000       4.73000         381.300         -380.900         0.900000         -16.8000        13.7100       67032.0       3.68000
08-02-1997 06:14:00.000          5.51000      -1.48000       2.18000       4.78000         382.400         -381.700         -6.60000         -23.3000        15.1400       55540.0       3.82000
08-02-1997 06:15:00.000          5.66000      -2.90000       1.17000       4.69000         380.200         -379.400         -3.40000         -23.4000        15.1200       57018.0       3.64000
08-02-1997 06:16:00.000          5.74000      -3.04000       1.27000       4.69000         378.600         -377.900         -1.00000         -23.3000        15.0600       58364.0       3.55000
08-02-1997 06:17:00.000          5.83000      0.460000       2.35000       5.03000         376.800         -375.800         -1.70000         -27.3000        14.6200       51169.0       3.21000
08-02-1997 06:18:00.000          5.89000      0.440000       2.29000       5.37000         377.900         -376.900         -2.00000         -27.0000        14.5900       51175.0       3.14000
08-02-1997 06:19:00.000          5.92000    -0.0800000       2.05000       5.53000         388.500         -387.700         -5.30000         -24.4000        14.3000       51233.0       3.05000
08-02-1997 06:20:00.000          5.94000     -0.230000       2.27000       5.45000         388.400         -387.600         -5.20000         -24.4000        14.3200       51309.0       3.03000
08-02-1997 06:21:00.000          5.94000     -0.530000       1.66000       5.64000         385.400         -384.600         -3.70000         -23.9000        14.7700       53610.0       3.17000
08-02-1997 06:22:00.000          5.98000      -1.47000      0.780000       5.74000         385.100         -384.300         -3.10000         -24.2000        14.9200       53948.0       3.16000
08-02-1997 06:23:00.000          6.12000      -1.50000      0.450000       5.90000         384.100         -383.300         -1.30000         -25.1000        15.3500       54886.0       3.12000
08-02-1997 06:24:00.000          6.17000      -1.62000      0.450000       5.93000         384.100         -383.300         -1.30000         -25.1000        15.3500       54886.0       3.07000
08-02-1997 06:25:00.000          6.20000      -1.95000      0.370000       5.85000         384.400         -383.700         0.300000         -22.8000        14.2600       54394.0       2.82000
08-02-1997 06:26:00.000          7.05000      -2.62000      -1.55000       6.33000         385.000         -384.200        -0.300000         -23.3000        13.9500       55236.0       2.14000
08-02-1997 06:27:00.000          7.06000      -3.14000      -1.09000       6.22000         387.800         -386.900         -3.20000         -26.1000        12.4000       59593.0       1.95000
08-02-1997 06:28:00.000          6.41000      -2.63000     -0.600000       5.81000         383.500         -382.900          1.60000         -22.9000        14.0600       58992.0       2.67000
08-02-1997 06:29:00.000          7.54000      -3.09000      -2.48000       6.35000         383.400         -382.800          1.90000         -22.5000        13.9800       59551.0       1.92000
08-02-1997 06:30:00.000          8.33000      -2.43000      -3.71000       6.88000         383.400         -383.100          7.70000         -14.3000        10.8100       74930.0       1.32000
08-02-1997 06:31:00.000          7.08000      -1.82000      -5.10000       4.28000         385.000         -384.400          10.9000         -16.8000        13.7200       62957.0       2.18000
08-02-1997 06:32:00.000          6.71000     -0.730000      -4.94000       4.47000         388.400         -387.800          8.50000         -19.2000        14.0500       59671.0       2.44000
08-02-1997 06:33:00.000          6.66000      -1.57000      -4.38000       4.69000         389.000         -388.400          7.90000         -19.6000        14.0400       59319.0       2.47000
08-02-1997 06:34:00.000          6.67000      -2.21000      -3.74000       5.04000         382.400         -381.800          4.90000         -21.7000        13.5200       58296.0       2.36000
08-02-1997 06:35:00.000          6.88000      -2.29000      -3.86000       5.18000         384.900         -384.300          3.00000         -21.0000        13.1100       54611.0       2.11000
08-02-1997 06:36:00.000          6.98000      -2.63000      -2.15000       5.95000         385.200         -384.600          3.40000         -21.8000        12.9500       54008.0       2.02000
08-02-1997 06:37:00.000          7.17000      -2.78000      -1.28000       6.48000         383.000         -382.100          7.30000         -25.6000        12.9600       56947.0       1.94000
08-02-1997 06:38:00.000          7.03000      -2.84000      -1.64000       6.21000         382.600         -381.600          6.10000         -26.9000        12.8500       54752.0       1.98000
08-02-1997 06:39:00.000          7.09000      -2.69000      -2.08000       6.21000         382.000         -381.000          6.50000         -26.3000        13.1900       57281.0       2.03000
08-02-1997 06:40:00.000          7.30000      -2.29000      -2.46000       6.48000         385.000         -384.000          5.50000         -26.9000        13.2200       55292.0       1.90000
08-02-1997 06:41:00.000          7.39000      -2.38000      -2.78000       6.42000         385.400         -384.500          6.40000         -26.2000        12.7600       52991.0       1.76000
08-02-1997 06:42:00.000          7.25000      -2.30000      -3.04000       6.16000         385.000         -384.100          7.20000         -25.6000        12.6600       52472.0       1.81000
08-02-1997 06:43:00.000          7.18000      -2.66000      -3.60000       5.60000         384.200         -383.300          10.0000         -23.1000        13.4900       51519.0       1.96000
08-02-1997 06:44:00.000          7.08000      -2.91000      -3.77000       5.23000         384.200         -383.400          8.60000         -23.5000        13.0500       54256.0       1.98000
08-02-1997 06:45:00.000          6.95000      -2.94000      -3.82000       5.00000         384.000         -383.200          8.60000         -23.8000        13.1400       54883.0       2.07000
08-02-1997 06:46:00.000          6.78000      -2.69000      -4.07000       4.70000         383.000         -382.000          9.40000         -24.9000        13.8300       56344.0       2.31000
08-02-1997 06:47:00.000          6.77000      -2.90000      -4.25000       4.40000         383.200         -382.300          7.90000         -25.1000        13.9300       53483.0       2.30000
08-02-1997 06:48:00.000          6.73000      -2.83000      -4.56000       4.06000         383.100         -382.200          7.60000         -25.0000        13.9000       53802.0       2.33000
08-02-1997 06:49:00.000          6.75000      -2.56000      -4.56000       4.26000         382.400         -381.500          6.90000         -24.8000        13.7200       56336.0       2.31000
08-02-1997 06:50:00.000          6.75000      -2.55000      -4.55000       4.27000         383.400         -382.600          8.70000         -24.0000        13.5900       57370.0       2.30000
08-02-1997 06:51:00.000          6.62000      -2.24000      -4.39000       4.40000         382.500         -381.600          8.90000         -24.2000        13.7600       58324.0       2.44000
08-02-1997 06:52:00.000          6.58000      -1.55000      -4.81000       4.18000         382.600         -381.800          8.60000         -23.3000        13.6400       58026.0       2.44000
08-02-1997 06:53:00.000          6.48000      -1.36000      -4.87000       4.04000         383.000         -382.100          9.90000         -22.8000        14.2100       56300.0       2.60000
08-02-1997 06:54:00.000          6.50000      -1.66000      -4.81000       4.02000         383.100         -382.200          10.3000         -22.7000        14.3300       55978.0       2.60000
08-02-1997 06:55:00.000          6.50000      -1.31000      -5.02000       3.91000         382.100         -381.400          10.4000         -21.4000        13.8300       53676.0       2.48000
08-02-1997 06:56:00.000          6.44000      -1.21000      -5.03000       3.83000         382.100         -381.400          10.4000         -21.4000        13.8300       53676.0       2.53000
08-02-1997 06:57:00.000          6.51000      -1.66000      -5.00000       3.82000         383.400         -382.700          12.0000         -21.0000        13.5400       54274.0       2.43000
08-02-1997 06:58:00.000          6.63000      -1.22000      -5.31000       3.75000         384.200         -383.400          13.0000         -20.8000        13.3500       54629.0       2.31000
08-02-1997 06:59:00.000          6.68000      -1.07000      -5.47000       3.68000         382.200         -381.400          11.1000         -20.4000        13.4600       53889.0       2.29000
08-02-1997 07:00:00.000          6.57000     -0.720000      -5.44000       3.61000         382.900         -382.200          10.9000         -20.6000        13.6300       55869.0       2.42000
08-02-1997 07:01:00.000          6.48000     -0.520000      -5.43000       3.48000         383.100         -382.400          10.8000         -20.7000        13.6700       56278.0       2.50000
08-02-1997 07:02:00.000          6.29000     -0.200000      -5.40000       3.17000         386.300         -385.500          10.1000         -21.9000        13.6600       57081.0       2.66000
08-02-1997 07:03:00.000          6.31000     -0.260000      -5.56000       2.93000         386.300         -385.500          10.1000         -21.9000        13.6600       57081.0       2.65000
08-02-1997 07:04:00.000          6.26000      0.780000      -5.80000       2.17000         388.000         -387.600          9.30000         -16.7000        13.8800       59903.0       2.77000
08-02-1997 07:05:00.000          6.20000       1.23000      -5.92000       1.29000         388.000         -387.600          9.70000         -16.6000        13.9000       59720.0       2.83000
08-02-1997 07:06:00.000          6.09000      0.690000      -5.78000       1.77000         388.400         -387.800          16.5000         -14.0000        14.3400       56211.0       2.97000
08-02-1997 07:07:00.000          6.03000      0.540000      -5.87000       1.19000         386.000         -385.500          12.5000         -15.2000        14.0000       57625.0       2.98000
08-02-1997 07:08:00.000          6.00000      0.180000      -5.84000     -0.370000         384.500         -384.100          10.0000         -16.0000        13.7900       58497.0       2.98000
08-02-1997 07:09:00.000          6.09000       1.35000      -5.44000      -2.27000         388.100         -387.500          16.7000         -10.8000        13.7300       54792.0       2.82000
08-02-1997 07:10:00.000          6.04000       1.38000      -5.73000     -0.970000         388.500         -388.000          16.5000         -9.00000        13.3900       53472.0       2.78000
08-02-1997 07:11:00.000          6.07000       2.17000      -5.55000     -0.990000         389.600         -389.300          16.0000         -4.90000        12.5600       50247.0       2.53000
08-02-1997 07:12:00.000          6.37000       1.36000      -5.92000       1.47000         390.700         -390.300          13.7000         -12.3000        12.9900       50855.0       2.39000
08-02-1997 07:13:00.000          6.50000      0.430000      -6.21000       1.77000         384.500         -383.500          18.4000         -19.6000        12.4500       50529.0       2.19000
08-02-1997 07:14:00.000          6.51000     -0.150000      -6.29000       1.67000         383.300         -382.300          18.6000         -19.6000        12.5400       53275.0       2.24000
08-02-1997 07:15:00.000          6.84000     -0.280000      -6.57000       1.85000         382.600         -381.700          17.6000         -19.2000        12.3600       54171.0       2.01000
08-02-1997 07:16:00.000          6.52000     -0.660000      -5.79000       2.89000         381.300         -380.400          16.3000         -21.1000        11.6600       50568.0       2.04000
08-02-1997 07:17:00.000          6.12000      -1.62000      -3.88000       3.32000         380.000         -378.900          16.4000         -24.8000        12.7400       54747.0       2.59000
08-02-1997 07:18:00.000          6.24000     -0.720000      -4.10000       3.47000         382.400         -381.200          17.6000         -23.9000        12.7400       53434.0       2.47000
08-02-1997 07:19:00.000          5.97000      -1.44000      -2.64000       3.30000         380.300         -379.200          11.0000         -25.8000        12.4700       62200.0       2.77000
08-02-1997 07:20:00.000          5.84000      -2.84000      -1.40000       3.73000         366.300         -364.600          8.20000         -33.2000        12.6300       79821.0       3.21000
08-02-1997 07:21:00.000          5.97000      -3.25000      -1.29000       3.87000         378.600         -377.100          12.2000         -31.2000        13.3600       58765.0       2.92000
08-02-1997 07:22:00.000          6.24000      -3.07000      -2.11000       4.34000         376.700         -375.800          8.00000         -25.2000        12.4800       55002.0       2.44000
08-02-1997 07:23:00.000          5.92000      -2.94000      -1.73000       3.73000         378.900         -378.000          9.40000         -24.3000        12.7700       54891.0       2.78000
08-02-1997 07:24:00.000          4.94000     -0.470000      -1.65000       1.92000         364.300         -363.400          3.40000         -24.9000        11.6000       70926.0       3.94000
08-02-1997 07:25:00.000          5.38000     -0.140000      -2.24000       2.14000         376.300         -375.400          9.90000         -22.4000        12.5800       57630.0       3.36000
08-02-1997 07:26:00.000          5.50000     -0.230000      -2.73000       2.33000         379.300         -378.300          13.0000         -23.6000        12.3100       54231.0       3.09000
08-02-1997 07:27:00.000          5.69000     -0.770000      -3.26000       3.17000         377.600         -376.700          9.90000         -22.4000        11.9800       59813.0       2.90000
08-02-1997 07:28:00.000          5.93000      -1.48000      -3.72000       4.37000         380.400         -379.200          13.5000         -27.2000        12.8900       49800.0       2.72000
08-02-1997 07:29:00.000          5.33000      -2.16000      -2.53000       4.04000         380.500         -379.300          13.5000         -27.2000        12.7900       49361.0       3.33000
08-02-1997 07:30:00.000          5.19000      -3.48000     -0.640000       3.76000         387.300         -386.000          20.9000         -24.2000        11.7500       68440.0       3.57000
08-02-1997 07:31:00.000          5.97000      -4.46000       1.40000       3.60000         380.500         -379.700          6.00000         -22.4000        11.2700       71718.0       2.63000
08-02-1997 07:32:00.000          6.71000       4.96000     -0.930000      -1.69000         390.700         -390.300         0.800000         -11.2000        9.63000       44440.0       1.54000
08-02-1997 07:33:00.000          6.84000       4.51000     -0.130000      -1.12000         390.600         -390.300        -0.200000         -11.0000        9.50000       43135.0       1.45000
08-02-1997 07:34:00.000          6.95000       5.16000     -0.550000      -1.18000         396.200         -396.000         0.900000         -10.9000        9.35000       30603.0       1.28000
08-02-1997 07:35:00.000          5.84000      -2.21000       1.94000       2.01000         383.600         -383.000          2.70000         -18.8000        10.0600       50510.0       2.19000
08-02-1997 07:36:00.000          5.61000     -0.700000       1.87000      0.950000         374.500         -374.300         0.600000         -15.0000        9.29000       64898.0       2.37000
08-02-1997 07:37:00.000          5.57000      0.740000       1.35000     0.0900000         366.200         -364.900         -2.00000         -27.6000        12.1500       65382.0       3.16000
08-02-1997 07:38:00.000          4.96000      -1.63000       2.60000       1.02000         370.600         -369.800          1.80000         -19.8000        12.2400       65333.0       4.01000
08-02-1997 07:39:00.000          6.90000       6.27000      -1.84000      -2.13000         381.300         -380.500         0.800000         -21.1000        10.4900       50314.0       1.64000
08-02-1997 07:40:00.000          6.90000       6.09000      -2.25000      -2.33000         397.100         -396.900          2.70000         -11.2000        8.76000       34877.0       1.25000
08-02-1997 07:41:00.000          6.84000       6.02000      -2.29000      -2.31000         396.000         -395.900          4.40000         -10.3000        8.77000       36390.0       1.28000
08-02-1997 07:42:00.000          6.82000       6.06000      -2.24000      -2.19000         395.400         -395.300          4.50000         -10.0000        8.68000       37214.0       1.29000
08-02-1997 07:43:00.000          6.79000       6.09000      -2.16000      -2.07000         395.400         -395.300          4.50000         -10.0000        8.68000       37214.0       1.30000
08-02-1997 07:44:00.000          6.78000       6.08000      -2.17000      -2.05000         99999.9          99999.9          99999.9          99999.9        999.990   1.00000E+07       999.990
08-02-1997 07:45:00.000          9999.99       9999.99       9999.99       9999.99         99999.9          99999.9          99999.9          99999.9        999.990   1.00000E+07       999.990
08-02-1997 07:46:00.000          6.75000       6.09000      -2.18000      -1.93000         396.000         -395.800          6.20000         -10.8000        8.47000       45259.0       1.34000
08-02-1997 07:47:00.000          6.54000       5.81000      -2.20000      -1.97000         395.000         -394.800          7.40000         -11.1000        8.08000       44819.0       1.36000
08-02-1997 07:48:00.000          9999.99       9999.99       9999.99       9999.99         394.500         -394.300          8.00000         -11.2000        7.89000       44611.0       999.990
08-02-1997 07:49:00.000          5.90000       4.84000      -2.49000      -2.20000         99999.9          99999.9          99999.9          99999.9        999.990   1.00000E+07       999.990
08-02-1997 07:50:00.000          5.90000       4.79000      -2.59000      -2.20000         386.400         -386.200          11.3000         -2.70000        7.84000       37808.0       1.56000
08-02-1997 07:51:00.000          5.43000       4.93000     -0.560000      -1.85000         386.400         -386.200          11.3000         -2.70000        7.84000       37808.0       1.84000
08-02-1997 07:52:00.000          5.08000       4.23000       1.92000      -1.48000         385.200         -385.100          2.50000         -3.80000        8.07000       58025.0       2.42000
08-02-1997 07:53:00.000          5.06000       1.13000       4.68000     0.0100000         382.200         -381.900         -4.50000         -7.70000        8.25000       60175.0       2.53000
08-02-1997 07:54:00.000          5.90000      -1.38000       5.49000       1.36000         377.600         -377.000         -15.3000         -13.7000        8.55000       63487.0       1.96000
08-02-1997 07:55:00.000          5.93000     -0.770000       5.71000       1.31000         372.900         -372.600         -7.40000         -14.7000        5.87000       119325.       1.72000
08-02-1997 07:56:00.000          6.12000     -0.600000       6.05000      0.550000         372.900         -372.600         -7.40000         -14.7000        5.87000       119325.       1.61000
08-02-1997 07:57:00.000          6.08000     -0.430000       6.04000     -0.380000         371.700         -371.300         -1.60000         -15.7000        5.55000       117493.       1.54000
08-02-1997 07:58:00.000          5.68000      0.500000       5.45000      -1.46000         371.700         -371.300         -1.50000         -15.7000        5.54000       117463.       1.76000
08-02-1997 07:59:00.000          5.33000       1.09000       4.94000      -1.65000         371.700         -371.300         -1.50000         -15.7000        5.54000       117463.       1.99000
08-02-1997 08:00:00.000          5.38000       1.06000       5.15000     -0.980000         379.900         -379.600        -0.300000         -14.0000        6.08000       111018.       2.09000
08-02-1997 08:01:00.000          5.30000      0.410000       5.26000     -0.140000         379.900         -379.600        -0.300000         -14.0000        6.08000       111018.       2.16000
08-02-1997 08:02:00.000          9999.99       9999.99       9999.99       9999.99         99999.9          99999.9          99999.9          99999.9        999.990   1.00000E+07       999.990
08-02-1997 08:03:00.000          5.04000     -0.460000       4.96000      0.760000         378.100         -377.700        -0.300000         -16.1000        5.84000       95245.0       2.14000
08-02-1997 08:04:00.000          4.43000     -0.420000       4.20000      0.650000         378.100         -377.700        -0.300000         -16.1000        5.84000       95245.0       2.77000
08-02-1997 08:05:00.000          2.82000      0.450000       2.31000      0.260000         377.900         -377.400        -0.300000         -19.4000        7.45000       106238.       9.14000
08-02-1997 08:06:00.000          3.27000       1.02000       2.81000     -0.920000         377.900         -377.400        -0.300000         -19.4000        7.45000       106238.       6.80000
08-02-1997 08:07:00.000          3.88000      -2.35000       2.70000      -1.41000         377.900         -377.400        -0.300000         -19.4000        7.45000       106238.       4.83000
08-02-1997 08:08:00.000          4.56000      -2.60000       3.47000      -1.29000         99999.9          99999.9          99999.9          99999.9        999.990   1.00000E+07       999.990
08-02-1997 08:09:00.000          4.56000      -2.60000       3.47000      -1.29000         99999.9          99999.9          99999.9          99999.9        999.990   1.00000E+07       999.990
08-02-1997 08:10:00.000          4.73000      -2.38000       3.97000     -0.660000         99999.9          99999.9          99999.9          99999.9        999.990   1.00000E+07       999.990
08-02-1997 08:11:00.000          4.55000      -2.38000       3.85000    -0.0200000         373.900         -373.500         -16.0000         -5.20000        8.01000       79041.0       3.34000
08-02-1997 08:12:00.000          2.54000      -1.22000       2.14000      0.430000         373.900         -373.500         -16.0000         -5.20000        8.01000       79041.0       10.7100
08-02-1997 08:13:00.000          3.54000      -1.07000       3.23000      0.520000         373.900         -373.500         -16.0000         -5.20000        8.01000       79041.0       5.51000
08-02-1997 08:14:00.000          2.74000     0.0700000       2.20000     -0.550000         99999.9          99999.9          99999.9          99999.9        999.990   1.00000E+07       999.990
08-02-1997 08:15:00.000          2.37000      0.510000       1.01000     -0.720000         379.400         -379.200         -7.50000         -8.50000        8.48000       121169.       15.6700
08-02-1997 08:16:00.000          2.60000       1.48000      0.730000      -1.15000         380.400         -380.200         -7.00000         -8.30000        8.67000       131595.       13.8700
08-02-1997 08:17:00.000          2.90000       1.56000     -0.480000      -1.67000         375.000         -374.600         -5.10000         -15.3000        8.28000       132983.       10.7000
08-02-1997 08:18:00.000          3.52000     -0.460000       2.04000     -0.400000         372.400         -371.900         -5.00000         -17.3000        8.01000       127841.       6.89000
08-02-1997 08:19:00.000          4.08000      -2.18000       3.26000       1.06000         380.300         -380.100         -6.30000         -8.70000        7.80000       105267.       4.55000
08-02-1997 08:20:00.000          2.51000      -1.54000       1.91000      0.470000         380.300         -380.100         -6.30000         -8.70000        7.80000       105267.       12.0300
08-02-1997 08:21:00.000          3.76000      -2.13000       3.05000      0.240000         380.300         -380.100         -6.30000         -8.70000        7.80000       105267.       5.36000
08-02-1997 08:22:00.000          5.34000      -2.49000       4.68000      0.620000         376.800         -376.600         0.300000         -11.7000        6.98000       117854.       2.51000
08-02-1997 08:23:00.000          5.93000      -2.96000       5.11000     -0.160000         376.800         -376.600         0.300000         -11.7000        6.98000       117854.       2.03000
08-02-1997 08:24:00.000          6.22000      -3.18000       5.29000       0.00000         376.800         -376.500         -12.3000         -8.00000        6.29000       124549.       1.71000
08-02-1997 08:25:00.000          6.14000      -2.18000       5.48000     -0.200000         376.800         -376.600         -12.6000         -7.00000        6.33000       124380.       1.77000
